User ID,Name,Total,Hunt,Purchase, ,L1 (Hunt),L2 (Hunt),L3 (Hunt),L4 (Hunt),L5 (Hunt), ,L1 (Purchase),L2 (Purchase),L3 (Purchase),L4 (Purchase),L5 (Purchase), ,Points (Hunt),Goal Percentage (Hunt), ,Points (Purchase),Goal Percentage (Purchase), ,First Hunt Time,Last Hunt Time
531491779,WagnerB,16,12,4,,0,4,8,0,0,,2,2,0,0,0,,28,93%,,6,12%,,2022/04/04 21:13:04,2022/09/04 14:44:41
784187291,xTiao,28,28,0,,0,28,0,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 03:39:37,2022/09/04 17:48:58
610438929,Yatsu,27,27,0,,0,27,0,0,0,,0,0,0,0,0,,27,90%,,0,0%,,2022/04/04 19:48:51,2022/09/04 16:20:32
653066749,Yunmmy,21,21,0,,0,21,0,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/04/04 05:08:11,2022/09/04 10:48:22
676916181,zerotroops00,30,30,0,,0,28,2,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 13:05:04,2022/09/04 17:30:17
838529829,BabyMaldito,15,15,0,,0,15,0,0,0,,0,0,0,0,0,,15,50%,,0,0%,,2022/04/04 21:18:25,2022/09/04 09:49:13
572975859,BESC,14,14,0,,0,14,0,0,0,,0,0,0,0,0,,14,47%,,0,0%,,2022/04/04 02:59:37,2022/09/04 19:41:22
352436039,BIGBROSS JS,37,37,0,,0,34,3,0,0,,0,0,0,0,0,,43,143%,,0,0%,,2022/04/04 03:19:58,2022/09/04 17:07:52
643122226,Bolo de fuba,28,28,0,,0,28,0,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 03:04:43,2022/09/04 17:38:39
466718493,BoloD Ameixa,64,64,0,,0,64,0,0,0,,0,0,0,0,0,,64,213%,,0,0%,,2022/04/04 03:21:04,2022/09/04 18:41:17
619981616,BoloDMorango,22,22,0,,0,22,0,0,0,,0,0,0,0,0,,22,73%,,0,0%,,2022/04/04 04:25:14,2022/09/04 19:32:06
727619698,Cao  Miudo,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 12:07:46,2022/09/04 19:10:12
677258514,Edu0686,26,26,0,,0,26,0,0,0,,0,0,0,0,0,,26,87%,,0,0%,,2022/04/04 13:20:17,2022/09/04 17:17:42
676554628,EL Maulaz,17,17,0,,0,13,4,0,0,,0,0,0,0,0,,25,83%,,0,0%,,2022/04/04 07:27:03,2022/09/04 17:01:05
544335528,Ellemy,34,34,0,,0,34,0,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 02:04:23,2022/09/04 18:56:52
815484616,Empadinha,18,18,0,,0,18,0,0,0,,0,0,0,0,0,,18,60%,,0,0%,,2022/04/04 08:09:22,2022/09/04 14:58:54
649342095,Esfiha,31,31,0,,0,31,0,0,0,,0,0,0,0,0,,31,103%,,0,0%,,2022/04/04 04:43:43,2022/09/04 17:25:10
579620641,Eterno Jarem,23,22,1,,0,22,0,0,0,,1,0,0,0,0,,22,73%,,1,2%,,2022/04/04 09:50:10,2022/09/04 10:19:39
582150820,Everlle,33,33,0,,0,33,0,0,0,,0,0,0,0,0,,33,110%,,0,0%,,2022/04/04 04:32:26,2022/09/04 20:31:39
596647206,F A R I A,35,35,0,,0,35,0,0,0,,0,0,0,0,0,,35,117%,,0,0%,,2022/04/04 04:39:09,2022/09/04 18:56:49
815818207,Fabriciowid,13,13,0,,0,6,6,1,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 13:29:16,2022/09/04 13:12:24
556193380,Foquiinha,26,26,0,,0,25,1,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 19:17:07,2022/09/04 18:22:02
465109586,Forginha,22,18,4,,0,9,9,0,0,,2,2,0,0,0,,36,120%,,6,12%,,2022/05/04 19:12:29,2022/09/04 14:18:08
1242434153,Gatiim,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0%,,0,0%,,0001/01/01 00:00:00,0001/01/01 00:00:00
723196364,Goiabada,25,25,0,,0,25,0,0,0,,0,0,0,0,0,,25,83%,,0,0%,,2022/04/04 11:59:45,2022/09/04 16:39:12
609827056,Hanabi s2,42,42,0,,0,42,0,0,0,,0,0,0,0,0,,42,140%,,0,0%,,2022/04/04 05:02:54,2022/09/04 20:03:41
465093346,Kyuppi,42,42,0,,0,42,0,0,0,,0,0,0,0,0,,42,140%,,0,0%,,2022/04/04 02:02:18,2022/09/04 20:01:16
815731347,l someone l,16,16,0,,0,16,0,0,0,,0,0,0,0,0,,16,53%,,0,0%,,2022/04/04 20:32:31,2022/09/04 17:54:49
843000583,LaCreme,17,17,0,,0,17,0,0,0,,0,0,0,0,0,,17,57%,,0,0%,,2022/04/04 05:19:41,2022/09/04 15:36:38
891086223,LeoPaiDoIsac,28,28,0,,0,28,0,0,0,,0,0,0,0,0,,28,93%,,0,0%,,2022/04/04 07:18:19,2022/09/04 18:20:59
891332031,Luryos,30,30,0,,0,30,0,0,0,,0,0,0,0,0,,30,100%,,0,0%,,2022/04/04 02:44:44,2022/09/04 20:09:59
568081685,Malyssa,36,36,0,,0,36,0,0,0,,0,0,0,0,0,,36,120%,,0,0%,,2022/04/04 04:48:03,2022/09/04 20:05:44
439440906,Megiitsune,34,34,0,,0,34,0,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 03:47:25,2022/09/04 19:21:19
689039785,Melanccia,38,38,0,,0,38,0,0,0,,0,0,0,0,0,,38,127%,,0,0%,,2022/04/04 02:03:52,2022/09/04 17:42:32
712660358,Meruen2,43,43,0,,0,43,0,0,0,,0,0,0,0,0,,43,143%,,0,0%,,2022/04/04 02:22:57,2022/09/04 17:40:51
598760245,Monster LM,26,26,0,,0,26,0,0,0,,0,0,0,0,0,,26,87%,,0,0%,,2022/04/04 17:37:49,2022/09/04 16:08:45
609887031,Nayumy,29,29,0,,0,29,0,0,0,,0,0,0,0,0,,29,97%,,0,0%,,2022/04/04 02:04:18,2022/09/04 20:03:09
529967155,NMStones,14,14,0,,0,14,0,0,0,,0,0,0,0,0,,14,47%,,0,0%,,2022/04/04 06:16:44,2022/09/04 17:22:34
650018593,Nubank Giga,13,13,0,,0,9,4,0,0,,0,0,0,0,0,,21,70%,,0,0%,,2022/05/04 23:03:33,2022/09/04 10:42:38
731072117,o Cuscuz,15,15,0,,0,15,0,0,0,,0,0,0,0,0,,15,50%,,0,0%,,2022/04/04 18:31:49,2022/09/04 18:07:25
623015849,Odin  Ragnar,19,19,0,,0,19,0,0,0,,0,0,0,0,0,,19,63%,,0,0%,,2022/04/04 21:36:07,2022/09/04 13:36:01
547051721,Pamonha V,26,26,0,,0,22,4,0,0,,0,0,0,0,0,,34,113%,,0,0%,,2022/04/04 07:27:37,2022/09/04 19:36:34
